mw repi rjb rhypo width length depth dip rake strike ztor azimuth rx ry0 rrup vs30 vs30measured ec8_code
6.1 117.1 102.83 117.48472241104372 11.0 34.0 9.5 40.0 90.0 114.0 1.0 346.6 -23.830636916304186 100.03054355627225 103.15 859.0 False A
6.0 116.2 111.25 116.47989053909693 12.0 22.0 8.07 60.0 90.0 95.0 3.7 338.4 -40.95385648617051 103.43763405506795 112.15 859.0 False A
6.0 134.1 126.0 134.34440814563143 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 325.8 -70.8225056093684 104.21215235859482 126.0 800 True A
6.1 425.1 406.97 425.2061382435583 11.0 34.0 9.5 40.0 90.0 114.0 1.0 327.5 -218.66482160890706 343.23501670247 407.06 800 True A
6.0 429.3 422.31 429.3758434052852 12.0 22.0 8.07 60.0 90.0 95.0 3.7 325.3 -240.41243554007977 347.1996499676908 422.55 800 True A
6.4 148.3 127.9 148.40950104356529 9.0 16.0 5.7 30.0 105.0 290.0 2.0 71.6 128.35644334774307 42.69850563347352 127.91 960.0 False A
6.0 85.0 82.39 85.74782796082943 6.4 10.0 11.3 35.0 110.0 276.0 6.5 106.7 83.71146386020376 25.114642746131572 83.01 1001.0 False A
6.9 23.4 18.27 27.794963572561127 15.0 35.0 15.0 60.0 -90.0 315.0 2.2 342.8 -5.402586074304737 17.452935675975215 18.4 1018.0 False A
6.9 28.3 17.98 32.02951763608063 15.0 35.0 15.0 60.0 -90.0 315.0 2.2 191.4 -3.553878980016687 17.625275719698557 23.17 972.0 False A
6.0 41.3 40.33 41.69148594137656 8.0 14.0 5.7 40.0 -85.0 143.0 3.4 316.6 -27.71023931074236 29.30275648025948 40.47 800 True A
6.0 87.8 79.77 88.17284162371087 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 6.9 9.653230682952609 79.77 80.76 1298.0 False A
6.5 102.1 88.1 102.51365762667918 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 0.2 0.30752826324862964 88.1 88.69 1298.0 False A
6.1 52.8 45.88 53.44838631801712 15.0 20.0 8.3 50.0 -90.0 140.0 0.5 25.4 21.0956304110777 44.427294459034556 47.46 1298.0 False A
6.1 201.3 195.65 201.4710401025418 15.0 20.0 8.3 50.0 -90.0 140.0 0.5 140.3 128.8191490323624 155.1634149830962 195.69 1000.0 False A
